Organisation,Date,Meeting,,CleanName,VideoLink,CouncillorOrg
Hastings District Council,5/03/2019,Council,,Heaps,,HDC
Hastings District Council,5/03/2019,Council,,Kerr,,HDC
Hastings District Council,5/03/2019,Council,,Nixon,,HDC
Hastings District Council,5/03/2019,Council,,O’Keefe,,HDC
Hastings District Council,5/03/2019,Council,,Poulain,,HDC
Hastings District Council,5/03/2019,Council,,Redstone,,HDC
Hastings District Council,5/03/2019,Council,,Schollum,,HDC
Hastings District Council,5/03/2019,Council,,Travers,,HDC
Hastings District Council,5/03/2019,Council,,Watkins,,HDC
Hastings District Council,4/03/2019,Hastings District Rural Community Board,,Kerr,,HDC
Hastings District Council,4/03/2019,Hastings District Rural Community Board Supplementary,,,,
Hastings District Council,28/02/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,28/02/2019,Temporary Road Closures Subcommittee,,Watkins,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,,Travers,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,,Lawson,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,,Nixon,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,,Watkins,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Watkins,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Hazlehurst,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Barber,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Dixon,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Harvey,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Heaps,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Kerr,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Lawson,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Lyons,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Nixon,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,O’Keefe,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Poulain,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Redstone,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Schollum,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,,Travers,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Dixon,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Hazlehurst,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Barber,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Harvey,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Heaps,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Lawson,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Lyons,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Nixon,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,O’Keefe,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Poulain,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Redstone,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Schollum,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Travers,,HDC
Hastings District Council,26/02/2019,Community Development Committee,,Watkins,,HDC
Hastings District Council,21/02/2019,Council,,Hazlehurst,,HDC
Hastings District Council,21/02/2019,Council,,Barber,,HDC
Hastings District Council,21/02/2019,Council,,Dixon,,HDC
Hastings District Council,21/02/2019,Council,,Harvey,,HDC
Hastings District Council,21/02/2019,Council,,Lawson,,HDC
Hastings District Council,21/02/2019,Council,,Lyons,,HDC
Hastings District Council,21/02/2019,Council,,Nixon,,HDC
Hastings District Council,21/02/2019,Council,,O’Keefe,,HDC
Hastings District Council,21/02/2019,Council,,Poulain,,HDC
Hastings District Council,21/02/2019,Council,,Schollum,,HDC
Hastings District Council,21/02/2019,Council,,Travers,,HDC
Hastings District Council,21/02/2019,Council,,Watkins,,HDC
